prompt,deviation,rgb,hex
red ochre pr102,23.17,192 75 28,#c04b1c
red pink,19.95,204 66 71,#cc4247
red white,31.32,199 88 80,#c75850
red wine,27.07,119 39 41,#772729
rice,20.85,195 157 64,#c39d40
rich lilac,17.61,173 141 173,#ad8dad
rich navy,27.31,55 63 73,#373f49
rich pale pink,13.17,228 173 167,#e4ada7
robin egg blue,18.25,131 181 181,#83b5b5
rogue pink,20.36,204 114 131,#cc7283
roman silver,21.49,148 144 134,#949086
rose dust,19.46,185 124 120,#b97c78
rose gold,17.43,195 135 108,#c3876c
rose pink,22.84,206 142 145,#ce8e91
rose purple,22.11,150 84 127,#96547f
rose quartz,22.19,218 159 161,#da9fa1
rose red,33.21,172 44 44,#ac2c2c
rosy,24.62,191 123 109,#bf7b6d
rosy brown,18.87,170 103 66,#aa6742
rosy pink,22.45,213 141 144,#d58d90
rosybrown,18.57,162 96 64,#a26040
rouge,39.36,172 54 43,#ac362b
royal blue,29.97,32 95 161,#205fa1
royal pink,25.19,210 115 138,#d2738a
royalblue,28.24,38 101 160,#2665a0
rubber ducky yellow,21.36,216 189 21,#d8bd15
ruby red,27.47,170 29 25,#aa1d19
rust,17.92,169 89 30,#a9591e
saddlebrown,21.45,136 92 56,#885c38
safety orange,16.79,220 109 15,#dc6d0f
safety yellow,21.74,232 215 11,#e8d70b
saffron,24.31,215 164 14,#d7a40e
saffron red,25.3,211 94 14,#d35e0e
sage green,19.2,119 160 109,#77a06d
salad green,30.83,101 180 65,#65b441
salmon,30.26,200 119 87,#c87757
salmon pink,16.12,222 149 134,#de9586
samco blue,20.9,61 128 165,#3d80a5
sandstone,20.85,180 152 114,#b49872
sandybrown,23.55,169 129 86,#a98156
sangria,40.37,167 56 42,#a7382a
sapphire blue,29.79,31 96 161,#1f60a1
saturated blue,27.45,38 128 178,#2680b2
saturated magenta,25.75,180 37 101,#b42565
saturated navy,29.14,43 64 89,#2b4059
saturated purple,18.29,119 64 137,#774089
scarlet,25.38,181 29 22,#b51d16
scarlet red,23.18,182 22 18,#b61612
school bus yellow,21.5,212 185 26,#d4b91a
screen pink,20.13,219 146 159,#db929f
sea blue,19.45,96 160 184,#60a0b8
sea green,22.75,77 168 121,#4da879
sea turtle green,30.72,63 146 91,#3f925b
seafoam green,17.59,133 201 161,#85c9a1
seagreen,26.23,76 156 108,#4c9c6c
seaweed green,23.28,72 145 85,#489155
sedona,34.67,171 122 91,#ab7a5b
sepia,16.33,182 130 67,#b68243
sepia brown,18.23,155 105 64,#9b6940
shamrock green,20.7,43 160 51,#2ba033
sheet metal,29.92,167 134 74,#a7864a
shocking orange,17.18,222 105 9,#de6909
sienna,20.17,189 120 51,#bd7833
silk blue,23.85,85 139 168,#558ba8
silver,20.79,149 149 145,#959591
silver pink,17.09,203 158 162,#cb9ea2
silver white,17.15,193 195 190,#c1c3be
sky blue,17.62,125 181 205,#7db5cd
skyblue,17.69,127 180 201,#7fb4c9
slate blue,21.54,75 106 124,#4b6a7c
slate blue gray,19.65,93 110 118,#5d6e76
slate granite gray,19.79,106 109 105,#6a6d69
slate gray,18.48,99 103 101,#636765
slateblue,22.86,80 113 130,#507182
slategray,19.33,111 115 112,#6f7370
slategrey,18.02,104 111 109,#686f6d
slime green,28.72,62 186 49,#3eba31
smokey gray,20.23,101 102 97,#656661
soft blue,19.01,138 185 204,#8ab9cc
soft hazel,21.38,186 155 117,#ba9b75
soft ivory,11.67,220 208 179,#dcd0b3
soft pink,15.0,225 174 172,#e1aeac
solferino lake,26.11,154 164 141,#9aa48d
solferino lake tyrian rose pr173,24.04,191 156 146,#bf9c92
sonic silver,21.28,145 145 142,#91918e
spring green,23.39,114 188 94,#72bc5e
springgreen,25.32,116 187 93,#74bb5d
stainless steel gray,18.36,115 116 113,#737471
steel blue,23.39,54 107 143,#366b8f
steel gray,19.94,107 109 106,#6b6d6a
steelblue,24.15,62 103 130,#3e6782
stoplight go green,34.77,67 162 49,#43a231
stormy gray,20.21,112 115 112,#707370
strawberry red,32.22,188 48 41,#bc3029
sun yellow,16.35,236 200 17,#ecc811
sunrise orange,14.01,222 119 14,#de770e
tan,21.03,185 133 71,#b98547
tan brown,19.07,172 110 57,#ac6e39
tangerine,14.65,221 123 16,#dd7b10
taupe,16.02,168 144 118,#a89076
tea green,20.84,92 151 74,#5c974a
teal,23.15,70 153 139,#46998b
teal blue,23.29,53 150 153,#359699
teal green,20.15,47 152 112,#2f9870
tiffany blue,20.18,106 191 190,#6abfbe
tiger orange,26.63,190 103 24,#be6718
titanium white,19.93,189 190 184,#bdbeb8
titanium white pw6,16.44,200 200 191,#c8c8bf
tomato,34.87,189 57 20,#bd3914
tomato sauce red,30.43,185 39 18,#b92712
tron blue,25.5,42 113 157,#2a719d
tulip pink,21.15,203 143 146,#cb8f92
tumeric,24.08,198 155 22,#c69b16
turquoise,27.76,81 183 168,#51b7a8
turquoise green,28.15,58 184 137,#3ab889
tyrian purple,20.2,94 53 101,#5e3565
tyrian rose,29.17,160 82 76,#a0524c
ultramarine,30.4,42 101 156,#2a659c
ultramarine blue deep,28.57,27 79 141,#1b4f8d
ultramarine blue deep pb29,26.48,29 86 146,#1d5692
ultramarine blue light,25.96,32 102 165,#2066a5
ultramarine blue light pb29,25.23,58 134 187,#3a86bb
ultramarine violet,27.55,61 69 149,#3d4595
ultramarine violet pv15,27.89,74 77 145,#4a4d91
unbleached silk,22.11,189 163 117,#bda375
valentine red,29.46,179 33 34,#b32122
vampire gray,20.33,82 87 86,#525756
van dyck brown,19.7,128 80 42,#80502a
van dyck brown pbr8,19.97,131 89 53,#835935
vanilla,20.34,208 196 152,#d0c498
velvet maroon,21.99,101 28 33,#651c21
venetian red,22.98,178 37 25,#b22519
venetian red pr101,28.38,168 35 24,#a82318
venom green,29.79,33 128 42,#21802a
vermilion,30.82,193 49 20,#c13114
vermillian,31.75,168 134 80,#a88650
veronese green,26.51,57 140 68,#398c44
veronese green pg36 py3,30.95,79 165 82,#4fa552
vert,44.83,117 158 82,#759e52
verte,34.53,96 153 85,#609955
vibrant blue,30.32,37 136 186,#2588ba
vibrant blueish purple,17.98,75 69 157,#4b459d
vibrant bluey gray,24.32,83 134 161,#5386a1
vibrant bluey green,33.84,43 174 126,#2bae7e
vibrant bluey turquoise,29.22,48 182 189,#30b6bd
vibrant brown,18.82,170 88 28,#aa581c
vibrant brownish gray,20.49,140 96 61,#8c603d
vibrant gray,18.08,121 123 120,#797b78
vibrant green,25.29,60 200 41,#3cc829
vibrant greenish blue,32.7,49 179 127,#31b37f
vibrant greenish brown,27.89,110 129 41,#6e8129
vibrant greenish gray,25.15,96 152 105,#609869
vibrant greenish yellow,24.92,180 216 14,#b4d80e
vibrant greeny turquoise,28.65,55 195 122,#37c37a
vibrant lime,22.34,166 220 18,#a6dc12
vibrant magenta,27.34,179 37 106,#b3256a
vibrant orange,15.11,225 111 11,#e16f0b
vibrant orangy brown,17.57,208 102 18,#d06612
vibrant orangy pink,15.95,226 103 75,#e2674b
vibrant orangy red,21.68,216 66 15,#d8420f
vibrant orangy yellow,18.16,238 176 4,#eeb004
vibrant pink,16.74,220 98 136,#dc6288
vibrant pinkish orange,16.08,229 104 64,#e56840
vibrant pinkish purple,19.92,197 73 146,#c54992
vibrant pinkish red,17.62,213 57 75,#d5394b
vibrant purple,21.79,122 59 144,#7a3b90
vibrant purplish brown,22.46,120 53 73,#783549
vibrant purplish gray,17.47,114 82 128,#725280
vibrant purply blue,32.51,57 63 146,#393f92
vibrant purply red,25.49,168 24 44,#a8182c
vibrant red,21.8,192 21 16,#c01510
vibrant reddish brown,30.09,177 54 23,#b13617
vibrant reddish gray,31.66,160 54 48,#a03630
vibrant reddish orange,19.4,215 69 12,#d7450c
vibrant reddish pink,22.08,211 50 71,#d33247
vibrant reddish purple,28.37,159 28 68,#9f1c44
vibrant scarlet,24.7,190 22 18,#be1612
vibrant scartlet,29.87,178 118 41,#b27629
vibrant turquoise,29.91,59 188 174,#3bbcae
vibrant violet,24.84,123 56 145,#7b3891
vibrant yellow,15.44,237 208 3,#edd003
vibrant yellowish brown,16.44,226 173 10,#e2ad0a
vibrant yellowish gray,21.72,218 188 37,#dabc25
vibrant yellowy green,22.97,197 218 4,#c5da04
vibrant yellowy orange,15.25,237 174 5,#edae05
viola,30.27,171 125 60,#ab7d3c
viola purple,16.6,117 78 136,#754e88
violet,16.29,133 86 149,#855695
violet red,27.25,156 30 53,#9c1e35
warm black,24.98,55 36 20,#372414
warm pink,19.93,217 136 132,#d98884
warm white,16.44,215 205 180,#d7cdb4
watermelon pink,15.6,219 113 117,#db7175
western charcoal,16.72,67 68 64,#434440
white,13.36,211 213 207,#d3d5cf
white blue,24.35,168 199 215,#a8c7d7
white chocolate,16.17,207 194 160,#cfc2a0
white gold,20.71,205 189 153,#cdbd99
white gray,14.04,201 203 198,#c9cbc6
white ice,11.35,207 216 217,#cfd8d9
white yellow,15.25,238 221 110,#eedd6e
whitesmoke,20.68,181 181 172,#b5b5ac
wild strawberry,29.33,177 78 75,#b14e4b
windows blue,23.66,64 142 189,#408ebd
wine red,23.83,123 32 34,#7b2022
wisteria purple,14.11,150 117 165,#9675a5
yellow,18.85,234 202 7,#eaca07
yellow gold,18.16,227 183 14,#e3b70e
yellow lawn green,18.3,206 215 17,#ced711
yellow ochre,13.11,231 193 17,#e7c111
yellow ochre py43,15.44,228 188 26,#e4bc1a
yellow orange,14.56,236 172 6,#ecac06
yellowgreen,26.75,191 207 14,#bfcf0e
yellowy white,14.16,238 215 78,#eed74e
zinc white,18.25,197 197 189,#c5c5bd
zinc white pw4,15.64,197 198 190,#c5c6be
zombie green,26.62,54 156 48,#369c30
